NPS,O,tf,X,Ah,Y,B,r,D,B11,B13,C,F,G
1/2,95,14.3,38,21.3,22,22,52,16,22.2,22.9,Note (4),3,23.6,10
3/4,,115,15.9,48,26.7,25,25,57,16,27.7,28.2,Note (4),3,29.0,11
1,125,175,54,334,27,27,62,18,34.5,34.9,Note (4),3,35.8,13
1 1/4,135,20.7,64,42.2,29,29,67,21,43.2,43.7,Note (4),5,44.4,14
1 1/2,155,22.3,70,48.3,32,32,70,23,49.5,50.0,Note (4),6,50.6,16
2,165,25.4,84,60.3,37,37,73,29,61.9,62.5,Note (4),8,63.5,17
2 1/2,190,28.6,100,73.0,41,41,79,32,74.6,75.4,Note (4),8,76.2,19
3,210,318,117,88.9,46,46,83,35,90.7,914,Note (4),10,92.2,21
3 1/2,230,35.0,133,101.6,49,49,86,40,103.4,104.1,Note (4),10,104.9,…
4,275,38.1,152,114.3,54,54,102,42,116.1,116.8,Note (4),cel,117.6,…
5,330,44.5,189,141.3,60,60,114,48,143.8,144.4,Note (4),1,144.4,…
6,355,47.7,222,168.3,67,67,117,51,170.7,1714,Note (4),13,171.4,…
8,420,55.6,273,219.1,76,76,133,58,221.5,222.2,Note (4),13,222.2,…
10,510,63.5,343,273.0,86,111,152,66,276.2,277.4,Note (4),13,276.2,…
12,560,66.7,400,323.8,92,117,156,70,327.0,328.2,Note (4),13,328.6,…
14,605,69.9,432,355.6,94,127,165,74,359.2,360.2,Note (4),13,360.4,…
16,685,76.2,495,406.4,106,140,178,78,410.5,411.2,Note (4),13,411.2,…
18,745,82.6,546,457.0,117,152,184,80,461.8,462.3,Note (4),13,462.0,…
20,815,88.9,610,508.0,127,165,190,83,513.1,514.4,Note (4),13,512.8,…
22,870,95.2,663,558.8,133,175,197,ae,564.4,565.2,Note (4),13,os,…
24,940,101.6,718,610.0,140,184,203,93,616.0,616.0,Note (4),13,614.4,…
