NPS,O,W,d,n,C,T,Y1,Y2
1/2,135,88.9,7/8,4,3/4,120,115,120
3/4,140,95.2,7/8,4,3/4,125,120,125
1,160,108.0,1,4,7/8,140,135,140
1 1/4,185,130.2,1 1/8,4,1,150,145,150
1 1/2,205,146.0,1 1/4,4,1 1/8,170,165,170
2,235,171.4,1 1/8,8,1,180,170,180
2 1/2,265,196.8,1 1/4,8,1 1/8,195,190,205
3,305,228.6,1 3/8,8,1 1/4,220,215,230
4,355,273.0,1 5/8,8,1 1/2,255,250,260
5,420,323.8,1 7/8,8,1 3/4,300,290,310
6,485,368.3,2 1/8,8,2,345,335,355
8,550,438.2,2 1/8,12,2,380,375,395
10,675,539.8,2 5/8,12,2 1/2,490,485,510
12,760,619.1,2 7/8,12,2 3/4,540,535,560
