NPS,O,W,d,n,C,T,Y1,Y2
1/2,90,60.3,5/8,4,1/2,55,…,50
3/4,100,69.9,5/8,4,1/2,65,…,50
1,110,79.4,5/8,4,1/2,65,75,55
1 1/4,115,88.9,5/8,4,1/2,70,85,55
1 1/2,125,98.4,5/8,4,1/2,70,85,65
2,150,120.7,3/4,4,5/8,85,95,70
2 1/2,180,139.7,3/4,4,5/8,90,100,75
3,190,152.4,3/4,4,5/8,90,100,75
3 1/2,215,177.8,3/4,8,5/8,90,100,75
4,230,190.5,3/4,8,5/8,90,100,75
5,255,215.9,7/8,8,3/4,95,110,85 
6,280,241.3,7/8,8,3/4,100,115,85
8,345,298.5,7/8,8,3/4,110,120,90
10,405,362.0,1,12,7/8,115,125,100
12,485,431.8,1,12,7/8,120,135,100
14,535,476.3,1 1/8,12,1,135,145,115
16,595,539.8,1 1/8,16,1,135,145,115
18,635,577.9,1 1/4,16,1 1/8,145,160,125
20,700,635.0,1 1/4,20,1 1/8,160,170,140
22,750,692.2,1 3/8,20,1 1/4,170,185,150
24,815,749.3,1 3/8,20,1 1/4,170,185,150

