NPS,O,W,d,n,C,T,Y1,Y2
1/2,95,66.7,5/8,4,1/2,75,70,75
3/4,115,82.6,3/4,,4,5/8,90,85,90
1,125,88.9,3/4,,4,5/8,90,85,90
1 1/4,135,98.4,3/4,4,5/8,95,90,95
1 1/2,155,114.3,7/8,4,3/4,,110,100,110
2,165,127.0,3/4,,8,5/8,110,100,110
2 1/2,190,149.2,7/8,8,3/4,,120,115,120
3,210,168.3,7/8,8,3/4,,125,120,125
3 1/2,230,184.2,1,8,7/8,140,135,140
4,275,215.9,1,8,7/8,145,140,145
5,330,266.7,1 1/8,8,1,165,160,165
6,355,292.1,1 1/8,12,1,170,165,170
8,420,349.2,1 1/4,12,1 1/8,190,185,195
10,510,431.8,1 3/8,16,1 1/4,215,210,215
12,560,489.0,1 3/8,20,1 1/4,,220,215,220
14,605,527.0,1 1/2,20,1 3/8,235,230,235
16,685,603.2,1 5/8,20,1 1/2,255,250,255
18,745,654.0,1 3/4,20,1 5/8,275,265,275
20,815,723.9,1 3/4,24,1 5/8,285,280,290
22,870,777.7,1 7/8,24,1 3/4,305,ve,310
24,940,838.2,2,24,1 7/8,330,325,335
