NPS,O,W,d,n,C,T,Y1,Y2
1/2,120,82.6,7/8,4,3/4,,110,100,110
3/4,,130,88.9,7/8,4,3/4,115,110,115
1,150,101.6,1,4,7/8,125,120,125
1 1/4,160,111.1,1,4,7/8,125,120,125
1 1/2,180,123.8,1 1/8,4,1,140,135,140
2,215,165.1,1,8,7/8,145,140,145
2 1/2,245,190.5,1 1/8,8,1,160,150,160
3,265,203.2,1 1/4,8,1 1/4,180,170,180
4,310,241.3,1 3/8,8,1 1/4,195,190,195
5,375,292.1,1 5/8,8,1 1/2,250,240,250
6,395,317.5,1 1/2,12,1 3/8,260,255,265
8,485,393.7,1 3/4,12,1 5/8,290,285,300
10,585,482.6,2,12,1 7/8,335,330,345,
12,675,571.5,2 1/8,16,2,375,370,385,
14,750,635.0,2 3/8,16,2 1/4,,405,400,425
16,825,704.8,2 5/8,16,2 1/2,445,440,470
18,915,774.7,2 7/8,16,2 3/4,495,490,525
20,985,831.8,3 1/8,16,3,540,535,565
24,1170,990.6,3 5/8,16,3 1/2,615,610,650
