NPS,Groove_No,P,E,F,R,K,Distance_Between_Flanges
1,15,47.63,6.35,8.74,0.8,63.5,4
1 1/4,17,57.15,6.35,8.74,0.8,73,4
1 1/2,19,65.07,6.35,8.74,0.8,82.5,4
2,22,82.55,6.35,8.74,0.8,102,4
2 1/2,25,101.6,6.35,8.74,0.8,121,4
3,29,114.3,6.35,8.74,0.8,133,4
3 1/2,33,131.78,6.35,8.74,0.8,154,4
4,36,149.23,6.35,8.74,0.8,171,4
5,40,171.45,6.35,8.74,0.8,194,4
6,43,193.68,6.35,8.74,0.8,219,4
8,48,247.65,6.35,8.74,0.8,273,4
10,52,304.8,6.35,8.74,0.8,330,4
12,56,381,6.35,8.74,0.8,406,4
14,59,396.88,6.35,8.74,0.8,425,3
16,64,454.03,6.35,8.74,0.8,483,3
18,68,517.53,6.35,8.74,0.8,546,3
20,72,558.8,6.35,8.74,0.8,597,3
22,80,615.95,6.35,8.74,0.8,648,3
24,76,673.1,6.35,8.74,0.8,711,3

